username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Boogie Bee,30378347,WHOville,2023-01-20 06:46:03,"It’s giving hit 4 countries in 6 days for Partying Down , Legal Drug Use &amp; Luxury or hit one country with all thing… https://t.co/FPWPgUle2t",0,Twitter for iPhone,
Author Chelsea Alana,114989709,"Westchester, NY",2023-01-20 03:03:19,"Netflix really needs to step it up. I'm tired of watching shows that are themed with only drug addicted, sex crazed… https://t.co/XYlKalQ8cM",0,Twitter Web App,
GalaxyNewsWasteland,979587075023523840,"Inwood, NY",2023-01-20 02:38:57,@TheJaredMonroe Candice:  Steven drug me into this and it pisses me off.  Also Candice:  Ask Not Gay Jared!,2,Twitter for iPhone,
Black Luigi 🍿,3043367285,"Bronx, NY",2023-01-20 00:45:24,😔😔😔 humanities greatest drug https://t.co/r09EBmadES,0,Twitter for iPhone,
CelebStoner,17525328,"Bronx, NY",2023-01-20 00:38:31,David Crosby passed away at 81 on Jan. 19. The singer-songwriter was known for many things: His work with the Byrds… https://t.co/nvcfx4zrwX,1,Twitter Web App,
CelebStoner,17525328,"Bronx, NY",2023-01-20 00:37:41,David Crosby passed away at 81 on Jan. 19. The singer-songwriter was known for many things: His work with the Byrds… https://t.co/mixLvT8NFD,1,Twitter Web App,
shakai,1345151887574790145,"Harlem, NY ",2023-01-20 00:11:10,The @NYCMayor call me Eric Adam’s I m the Devil son like @AdamSandler when stared in the movie Little Nicky use 2se… https://t.co/Zb77PcYr2Q,0,Twitter for iPhone,
sean 🥃.,1234263714427211779,THE BRONX,2023-01-19 22:41:48,"ppl like meek mill stupid wet french fry eatin lanky goofy lookin ass are misusing shrooms, the shit is not weed or… https://t.co/6F2o36rZPo",0,Twitter for iPhone,
🎃 Orlando 🍁,1498006213195452432,"Bronx, NY",2023-01-19 22:22:51,@Kcalb_4 @getratiodmessi Homelander is liter a human with drug powers,0,Twitter for iPhone,
@TS_truestory9 💎,162072381,"Bronx, NY",2023-01-19 21:09:27,smoking is cool until that good job mentions a drug test … Fuck ! 😭,0,Twitter for iPhone,
shakai,1345151887574790145,"Harlem, NY ",2023-01-19 19:35:09,Use to want a Rocafella Chain like Harlem dudes @DuskoPoppington @1996Biggs &amp; @Mr_Camron wore B4 I had a job workin… https://t.co/MinfPsnF7i,0,Twitter for iPhone,
James B Kepple,23344344,"Harlem, New York",2023-01-19 19:23:34,#ubtruth In Violation of the Nuremburg Code &amp; International Law the city government of #NYC pushed poison into the… https://t.co/hQshEvobwD,0,Twitter Web App,
pga_kash2x,1529593760526524418,"Bronx, NY",2023-01-19 18:29:53,Love is Like a drug … I’m having drug addictions ✍️ https://t.co/Zpnq0qOYvz,0,Twitter for iPhone,
Susha,1163864648233492480,"Bronx, NY",2023-01-19 17:24:43,@ChiChi_Verse 🤣🤣While I do find this adorable it is just utterly ridiculous with her inheriting her mother’s abnorm… https://t.co/y7atxtADOI,0,Twitter for iPhone,
Rich (NYC era),28979807,"New York, NY",2023-01-19 17:04:14,the only reasonable way they got these results is from over sampling from drug addict rock stars,0,Twitter for iPhone,
Andrew Kadel @DrewKadel@social.coop,2198634601,"Bronx, NY",2023-01-19 16:53:25,"@shrinkthinks @1WookieMilson It was in Thailand during the Vietnam War. (I only recently watched Apocalypse Now, cl… https://t.co/tFkv4GwEV6",0,Twitter Web App,
Michael Luca,954928875598991361,"The Bronx, NY",2023-01-19 13:53:06,"They could child abusers, sex offenders, human traffickers, they could be diseases, drug pushers!! etc. This Dumocr… https://t.co/os3KrdGOhy",0,Twitter for iPad,
Tim Maxwell,1367645840068780033,,2023-01-19 12:05:16,"@lakitukl Pfizer teamed up w/ then to work on a drug, yes",0,Twitter for iPhone,
Clarence White,808590777291075584,"Bronx, NY",2023-01-19 11:47:58,He about to get hit with a drug test soon..🤦🏾‍♂️ https://t.co/tkHbVA4e1Q,12,Twitter for iPhone,
✨Reina Católica de E.E.U.U.✨,1235570957865103360,"New York, USA",2023-01-19 06:46:53,"Drug dealing is not complex, it is akin to prostitution. Its morally wrong. You dont get the right to ruin other pe… https://t.co/2RiKa8gECY",0,Twitter for Android,
TRUE STEEL,40670101,"HARLEM, NY",2023-01-19 03:14:57,@spinnellii COCAINE is the only drug that make you look like that. That’s a fact. Just say no to drugs kids.,0,Twitter for iPhone,
KG,1032946142,"Bronx, NY",2023-01-19 01:00:59,I was the drug dealer 😂 https://t.co/qyiCFvzBhT,0,Twitter for iPhone,
